Barcode #, Culture & replicate ,Culture & replicate 
1,UE3.76 R1,HR2.76.R1
2,UE3.152 R1,HR2.152R1
3,UE3.189 R1,HR2.189.R1
4,UE3.227 R1,HR2.227R1
5,UE3.424 R1,HR2.424R1
6,UE3.455 R1,HR2.455R1
7,UE3.485 R1,HR2.485R1
8,UE3.515 R1,HR2.515R1
9,UE3.636 R1,HR2.636R1
10,UE3.682 R1,
11,UE3.712 R1,HR2.712R1
12,UE3.758 R1,HR2.758R1
13,UE3.76 R2,HR2.76.R2
14,UE3.152 R2,
15,UE3.189 R2,HR2.189.R2
16,UE3.227 R2,HR2.227R2
17,UE3.424 R2,HR2.455R2 EA
18,UE3.455 R2,HR2.455R2 EB
19,UE3.485 R2,HR2.485R2 EA
20,,HR2.515R2
21,UE3.636 R2,HR2.636R2
22,UE3.682 R2,HR2.682R2
23,UE3.712 R2,HR2.712R2
24,UE3.758 R2,HR2.758R2
25,UE3.76 R3,HR2.76.R3
26,UE3.152 R3,
27,UE3.189 R3,HR2.189.R3
28,UE3.227 R3,HR2.227R3
29,UE3.424 R3,HR2.424R3
30,UE3.455 R3,HR2.455R3
31,UE3.485 R3,HR2.485R1
32,UE3.515 R3,
33,UE3.636 R3,HR2.636R3
34,UE3.682 R3,HR2.515R3
35,UE3.712 R3,
36,UE3.758 R3,HR2.758R3
37,UE3.76 R1,HR2.76.R1
38,UE3.152 R1,HR2.152R1
39,UE3.189 R1,HR2.189.R1
40,UE3.227 R1,HR2.227R1
41,UE3.424 R1,HR2.424R1
42,UE3.455 R1,
43,UE3.485 R1,HR2.485R1
44,UE3.515 R1,
45,UE3.636 R1,HR2.636R1
46,UE3.682 R1,HR2.682R1
47,UE3.712 R1,HR2.712R1
48,UE3.758 R1,HR2.758R1
49,UE3.76 R2,HR2.76.R2
50,UE3.152 R2,HR2.152R2
51,UE3.189 R2,HR2.189.R2
52,UE3.227 R2,HR2.227R2
53,UE3.424 R2,
54,UE3.455 R2,HR2.455R2
55,UE3.485 R2,HR2.485R2
56,UE3.515 R2,HR2.515R2
57,UE3.636 R2,HR2.636R2
58,UE3.682 R2,HR2.682R2
59,UE3.712 R2,HR2.712R2
60,UE3.758 R2,HR2.758R2
61,UE3.76 R3,HR2.76.R3
62,UE3.152 R3,HR2.152R3
63,UE3.189 R3,HR2.189.R3
64,UE3.227 R3,HR2.227R3
65,UE3.424 R3,HR2.424R3
66,UE3.455 R3,HR2.455R3
67,UE3.485 R3,HR2.485R1
68,UE3.515 R3,HR2.515R3
69,UE3.636 R3,HR2.636R3
70,UE3.682 R3,HR2.682R3
71,UE3.712 R3,HR2.712R3
72,UE3.758 R3 EA,HR2.758R3
73,UE3.758 R3 EB,
74,UE3.712 R1 EB,
75,UE3.636 R2 EB,
76,UE3.152 R3 EB ,
